date;x;y;z
1573728303986;-2.170403108;-2.718035354;3.369930358
1573728303997;-2.870216453;-1.852647887;3.508057476
1573728304007;-4.027659864;-1.282920922;2.668539907
1573728304017;-3.681814552;-1.317471381;0.479959699
1573728304027;-2.700285245;-1.421726891;-0.627342997
1573728304037;-1.394083634;-1.612390668;-0.333322607
1573728304047;0.003303993;-1.872182585;1.143047958
1573728304057;0.707496157;-1.850172597;1.711228681
1573728304067;1.592630617;-1.909178986;1.552857647
1573728304077;2.024926156;-1.98702985;1.119702919
1573728304087;3.765145731;-3.397725152;-0.192162908
1573728304097;3.272605667;-3.72949089;-0.521479731
1573728304107;2.618084534;-3.611831199;-0.800256066
1573728304117;2.354956709;-4.023358831;-1.421672267
1573728304127;1.837996739;-3.387238891;-1.673638973
1573728304137;0.872804656;-2.571885086;-1.783275059
1573728304147;-0.083223713;-1.812341815;-1.825015204
1573728304157;-1.016598234;-0.729697613;-1.720501341
1573728304167;-1.058444818;-0.108748363;-1.682858783
1573728304177;-1.045953433;0.617854177;-1.821296754
1573728304187;-1.265803703;1.42897973;-2.207858898
1573728304197;-2.621546585;4.054532889;-3.942137796
1573728304207;-3.09322516;5.741257385;-3.276293245
1573728304217;-3.807671673;7.335803759;-2.728294728
1573728304227;-3.643729883;9.622751436;-2.688291452
1573728304237;-2.700463643;8.602250832;-2.840163344
1573728304247;-2.803932087;7.065676703;-2.931015105
1573728304257;-1.844750512;3.767824565;-2.973049999
1573728304267;2.523474035;-4.539925071;-0.309849835
1573728304277;1.298603294;-7.217496468;0.947305603
1573728304287;-0.232917215;-8.685346471;1.278822647
1573728304297;1.698381689;-7.806359066;1.620650662
1573728304307;1.343382476;-1.847417389;0.361824332
1573728304317;0.538404844;2.735861178;-0.783142997
1573728304327;0.3541094;6.141994759;-1.760408364
1573728304337;-0.069139009;16.5130236;2.928051597
1573728304347;0.603573128;16.32096728;8.517566209
1573728304357;-3.010760558;8.674425194;10.09315186
1573728304367;-2.393285571;-3.541316931;5.944639438
1573728304377;5.164547111;-16.22525983;1.384675593
1573728304387;7.671225473;-15.27864146;-2.35523293
1573728304397;8.925746476;-12.28420467;-3.906807689
1573728304407;2.313886671;-4.755486923;-1.179439186
1573728304417;0.288174461;-1.889028038;0.941164232
1573728304426;-0.750125543;0.204941204;3.036042076
1573728304437;-1.243661845;1.68091883;3.455467496
1573728304447;-0.519919796;3.352034105;3.178092029
1573728304457;0.580052055;4.351822292;3.967502234
1573728304467;2.655215007;7.158951882;6.40713167
1573728304477;1.848359856;7.213482002;2.888563536
1573728304487;1.984343555;5.004640277;-0.692435724
1573728304497;1.296339819;3.421442934;-0.63056315
1573728304507;-1.506528036;1.450031239;0.047173778
1573728304517;-5.618215097;-2.946509585;1.799871286
1573728304527;-6.53251649;-3.230612362;-9.209512075
1573728304537;-6.451844415;-3.595800467;-11.32091548
1573728304547;-4.671143119;-4.102471977;-5.455853093
1573728304557;-2.143333868;-4.492485928;1.013652238
1573728304567;0.752318418;-3.471405735;1.577066329
1573728304577;2.39463294;-2.164208786;2.395546958
1573728304586;2.084258131;-1.164420236;3.83179878
1573728304597;1.25368846;-0.042808619;1.640410414
1573728304607;1.156179683;-0.156829903;-0.158669289
1573728304617;1.231401552;-0.431921442;-0.678559479
1573728304627;0.693986312;-0.176985518;0.177328291
1573728304637;0.310022807;-0.218202794;0.494289162
1573728304647;-0.012470896;-0.021333476;0.717212011
1573728304657;-0.147882744;0.013578971;0.66570696
1573728304667;0.03492272;0.041508929;-0.156964566
1573728304677;0.104552627;0.293696798;-0.554612585
1573728304687;0.00702765;0.633352214;-0.918699677
1573728304697;-0.653262226;1.088951821;-0.627699502
1573728304707;-0.859713339;0.840515705;0.233339148
1573728304716;-0.9789056;0.381277157;0.845555653
1573728304727;-0.737155852;-0.01675867;1.120808403
1573728304736;-0.988119743;0.109176072;0.069210561
1573728304747;-1.342119902;0.960745551;-0.450286959
1573728304757;-1.686611533;1.519418127;0.099457117
1573728304767;-1.487195301;1.368763261;1.029584958
1573728304777;-0.990558662;0.849844593;1.436583578
